text,sentiment
نیاز به اصلاح داره شارپی رفته بالا. البته گپ رو هم پر کرده,negative
اگه شنبه بر نگرده حمایت ش میشه 2400,negative
همه چی به حقوقیش بستگی داره اینکه میگین فروشنده زیاد اصلا مهم نیست تا حقوقیش نخواد هیچ سهمی بالا نمیره همینطور که صف فروش فیک درست میکنن میتونن صف خرید فیکم درست کنن تحیلاتونو واسه خودتون نگه دارین چون جواب نمیده,negative
سلام. کسی حمایت سهم رو میدونه؟,negative
سلام ؛ من همون تازه وارد بورسم که تا الان 9 میلیون ضرر کردم ؛ به نظرتون شنبه ده میلیون تومان خرید کنم ؛ با قیمت پایین ؟,negative
اقا این نوسانگیرا داسان درس کردن واس سهم اصن انگار یه عده نمیخاسن این سهم بره بالا امرو .لیدرشونم که افتاده دس نوسان گیرا,negative
تا وارد نشدن دارو دسته حقوقی ها نهایتا ساید بشه. امروز خروج پول هوشمند بود از سهم البته انقد تو دست پایین معامله شد که قیمت پایانی هم رسید به منفی پنج. شنبه عکس العمل نشون نده ( حقوقی) برا برگشت میره به حمایت 50 فیبو که واقعا افتضاحه. دوستان خبری چیزی تو را نیست؟,negative
اصلاح خزامیا تموم شد امروزم راحت میتونست مثبت پنج بشه ولی نمیدونم چرا یه سری نمیخواستن سهم بالا بیا با قیمت پایین میفروختن. بگیم حقوقی باعث شد که دروغ همش کار حقیقی بود نمیدونم دلیلشو ولی خیلی راحت روزی که مثبت باید میشد یه سری با مفت فروشی منفیش کردن,negative
اصلاح مصلاح در کار نیس. ریزشه قیول کنین دیکه بابا. 2 هفته داره اصلاح میخوره؟,negative
خزامیا 80+ خاذین 60+ فولاد 180+ بودم ، سهامداری کردم الان بیشترش ریخته. چیکار کنم بنظرتون؟ این شنبه‌ی خوب کی میاد؟,negative
چقدر این حقوقی گدا گشنه اس. همین سهمایی که خریدی ببین می تونی بفروشی. اینقدر گشنه بازی درنیار. تو که روزای مثبت هم سهم نمی فروشی و با کد به کد حجم مبنا رو پر می کنی. این همه سهم می خوای چیکار؟ گشنه. آخر شهریور ، این سهمایی که خریدی 150 تا تک تومان می ارزه. از من به تو گفتن. حالا باز برو شل کن و سفت کن درست کن و حرص بزن و این برگه پاره ها رو بخر. ولی این برگه ها فقط تا آخر شهریور می ارزه نه بعدش. آروم آروم باید با شغل شریف برگه کشی خداحافظی کنی. :)))))))))),negative
تا کی این اصلاح ادامه داره ؟. من تازه واردم توی بورس. الان توی 9 میلیون ضرر هستم 😒,negative
فاتحه سهمو خوندن نوسانیگرا توش جولان میدن مث بقیه خودروییا,negative
واکنش تکنیکالی زیبا. پولبک به سقف تاریخی. حجم بالا روی ناحیه حمایتی,negative
اصلا سهم نگاه کنید امروز داشت برمیگشت من نمیدونم چرا یه سری کلا میخواستن مفت بفروشن. داری چکار میکنی واقعا,negative
مسلم جان از نیسان چه توقعی داری,negative
بعضی سهم ها رو میری کامنت سهام داراشو میخونی تحلیلاشونو کیف میکنی این سهم هم تکلیفش مثل سهام داراشه,negative
شنبه خروج میکنم الکی بازیش میدن تا 2500هم افت داره,negative
حقوقی داره می فروشه نمیزاره مثبت شه,negative
والا هر روز اخرین فرصتشه که منفی بخوره,negative
ببرین منفی 5حقوقی آشکارا با کد حقوقیش بخره نه کد حقیقی,negative
بوق 1011 بزن,negative
الان پنچر میشه,negative
تا میتونید بفروشید خبر بدی توو راه امروز نفروشی شنبه قفل میشه دیگه نمیتونی بفروشی,negative
یه عده ریختن اینجا فکر کنم سرمایه همشون رو هم 40 تومان نشه بعد یه عده دیگه گوش به حرف اینا میدن. !. آخه نمیدونم وقتی وارد بورس شدی چیزی به اسم اصلاح شنیدی؟ یه ماه هر روز مثبت 5 بود این 5 روزم روش اصلا آقا ده روز. سهامداری صبر میخواد حوصله میخواد که ندارین.,negative
تا حقوقی نخواد کاری نمیشه کرد داداش. تا میاد جون بگیره فروش میزاره باز,negative
خوش به حالت حداقل از 10 سهم یکی منفی من تمام دارایی 5 میلیون بوده گذاشتم خزامیا خپارس فولاد گرفتم مثبت بود از همون روز هرسه هر روز 5منفی نصف پولم هم رفته هنوزم امیدوارم ولی نمیدونم چی میشه توکل به خدا 😔,negative
مطمئن باشین این اعداد و ارقام کاملا دستوری هستن یه عده هم که برا بازار بورس برنامه ندارن و موج سواری میکنن با این اصلاح ها میترسن و پیاده میشن ، روند بازار اصلا طبیعی نیست سهم هایی مثل خزامیا ، شپنا ، شتران ، شبندر و خیلی از غول هایی که ورود بهشون حسرت شده بود الان صف فروش هستن و این یعنی دارن جیب مردم رو خالی میکنن,negative
کل پرتفو این بچها رهاوردو جمع کنی 100 میلیونم نمیشه,negative
بی ش ر ف ها قبلا منفی5 میخوابیدن الان منفی 4.90. خوب گ ا و بردار درخواست فروش رو. گ ا و صبر کن مثبت 5 بشه بفروش. گ ا و بازار منفی هست. چی داری میخری,negative
ار روزی که خریدم هی میگن فردا صعود میکنه پس فردا صعود میکنه. من نمیدونم چه بلایی به سر بازار اومده که چند ماه پیش شانسی هم سهم انتخاب میکردی یه ماهه کلی سود میکردی الان واسه ما فاز اصلاح و استراحت و جبران و تعدیل و ازین مضخرفات گرفتن,negative
صف خرید چی میگع😐,negative
Jaz حالت خوشه؟. سیو سود باید 3500 میکرد ن 2600,negative
احتمالا شنبه با تاچ 26000 پایان اصلاح باشه. همه چیز به وضع کلی بازار ربط داره .اگه از حدود 26000 حجم معامله درستی نخورد دوستان به میل خودشون سیو سود کنند,negative
اینجا بزرگترین گوهدونی تاریخه همه چی رو میدزدن و با سلیقه کنترلش میکنن,negative
اقا نمیخان سهم مثبت شه تا میاد جون بگیره. حقوقی نیاد ضرت میفروشه بفاک میده.,negative
من که 4 تومان خریدم اینقدر تعریف کردن الان 600 هزار تومان ضرر کردم 🤪🤪🤪😆,negative
غنوش هم حقوقی داره. ما هم حقوقی داریم🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️,negative
بازم منفی میخوره .تعدیل نکنید فعلا,negative
زنگ بزنید شرکت بگید این چه وضعشه. دو تا حقوقی درست حسابی ندارید سهم رو نگه داره,negative
نزدیک 30 درصد اصلاح شده. چقد دیگه باید اصلاح بشه که از ما بکشن بیرون!,negative
از اینکه خزامیا هی میاد بالا بعدش دوباره میریزه اینو میشه گرفت یه عده نمیزارن سهم بیاد بالا,negative
بیاییدگم شیدازصف فروش بیرون دلتون برای خودتون ومالتون بسوزه,negative
از روزی که من اومدم منفی شده,negative
چه زود صداتون دراومد تازه 5 6 روزه داره منفی میخوره بیا برو فاسمین رو ببین چه بلایی سرمون آورده پدرمونو درآورده,negative
این سهم دگ سهم نمیشه ب فنا رف دست نااهلاشه ک سواد ندارن,negative
واقع خریت یه سری شاخ و دم نداره. یکی از اینایی که تو صف فروش بیاد بگه واسه چی رفته تو صف فروش دلیلشو حداقل بدونیم,negative
این بعد افشای الف یکی واردش شده که پا قدمش نحس بوده😂. هرکس خودش میدونه پا قدمش نحسه بکشه بیرون از این سهم خواهشا😂,negative
